!contents

!|table:motta bud om reguleringskraft|
|Meldingsref|bud|budgiver|meldingsdato|start|stopp|stasjonsgruppe|elspotområde|tidsrom|kvantum|pris|
|UNH|1|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912010000200912010100|-39|450|
||1|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912010100200912010200|-39|450|
||1|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912010200200912010300|-39|450|
||1|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912010300200912010400|-39|450|
||1|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912012100200912012200|-44|450|
||1|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912012200200912012300|-44|450|
||1|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912012300200912012400|-44|450|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912010000200912010100|29|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912010100200912010200|29|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912010200200912010300|29|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912010300200912010400|29|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912011600200912011700|25|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912011700200912011800|25|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912011800200912011900|25|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912011900200912012000|25|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912012000200912012100|25|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912012100200912012200|25|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912012200200912012300|25|700|
|UNT|2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912012300200912012400|25|700|


!|Query:Bud lagret i LARM|
|Meldingsref|bud|budgiver|meldingsdato|start|stopp|stasjonsgruppe|elspotområde|tidsrom|kvantum|pris|
|UNH|1|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912010000200912010100|-39|450|
||1|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912010100200912010200|-39|450|
||1|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912010200200912010300|-39|450|
||1|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912010300200912010400|-39|450|
||1|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912012100200912012200|-44|450|
||1|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912012200200912012300|-44|450|
||1|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912012300200912012400|-44|450|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912010000200912010100|29|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912010100200912010200|29|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912010200200912010300|29|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912010300200912010400|29|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912011600200912011700|25|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912011700200912011800|25|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912011800200912011900|25|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912011900200912012000|25|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912012000200912012100|25|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912012100200912012200|25|700|
||2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912012200200912012300|25|700|
|UNT|2|7080005050999|200811301505|200912010000|200912012400|NOKG00049|NO1|200912012300200912012400|25|700|

